,text,centroids_id
31,"ขอข้อมูลหลักสูตรหน่อย 
",-1
56,"ขอลิ้งค์เว็บไซต์สาขาหน่อย
",-1
55,"ขอดูหลักสูตรหน่อย 
",-1
54,"จบไปทำอะไร 
",-1
28,"ขอเว็บไซต์สาขาหน่อย
",-1
52,"ขอเว็บไซต์คณะหน่อยหน่อยครับ
",-1
51,"ค่าหอราคาเท่าไหร่ครับ
",-1
61,"กี่ปีจบ
",-1
32,"ขอดูหลักสูตรหน่อย
",-1
33,"มีหอพักไหมครับ
",-1
57,"สาขานี้เรียนยากไหม
",-1
34,"เรียนกี่ปีครับ
",-1
36,"ตึกสาขาอยู่ที่ไหนครับ
",-1
37,"ค่าหอเท่าไหร่
",-1
38,"ค่าเทอมกี่บาท
",-1
39,"ขอรายวิชาในสาขาหน่อย
",-1
40,"เทอมนี้มีวิชาอะไรบ้าง 
",-1
50,"มีที่พักไหมครับ
",-1
49,"ค่าเทอม เทอมละเท่าไหร่ครับ
",-1
43,"ขอรายละเอียดหลักสูตรหน่อย
",-1
44,"ขอเว็บสาขาหน่อย
",-1
35,"สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
",-1
46,"ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
",-1
23,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",-1
21,"ขอเว็ปมหาลัยหน่อยจ้า
",-1
1,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",-1
2,"เรียนกี่ปีจบ
",-1
3,"ค่าเทอมกี่บาท
",-1
4,"เรียนแมทกี่ตัว
",-1
5,"มีที่พักไหมคะ
",-1
6,"เรียนจบไปทำงานอะไร
",-1
7,"มีหอพักสำหรับนักศึกษามั้ยคะ
",-1
8,"ค่าหอเท่าไหร่คะ
",-1
9,"เรียนยากมั้ยคะ 
",-1
58,"หวัดดีครับ
",-1
10,"ขอระเบียบการหอพัก
",-1
12,"Hi
",-1
13,"จบอะไรถึงเรียนได้คะ
",-1
14,"สายศิลป์เรียนได้ไหม
",-1
16,"สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
",-1
17,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",-1
18,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",-1
19,"อรุณสวัสดิ์ค่ะ :)
",-1
20,"สนใจเรียนสมัครอย่างไรคะ
",-1
11,"เปิดเทอมวันไหน 
",-1
47,"ค่าเทอมเทอมละกี่บาทคะ
",-1
59,"สวัสดีครับ
",0
48,"สวัสดีครับ
",0
0,"สวัสดีค่ะ 
",0
41,"สวัสดี
",0
30,"สวัสดี
",0
26,"สวัสดีครับ
",0
25,"สวัสดีค่ะ
",0
24,"สวัสดีจ้า
",0
15,"สวัสดี
",0
42,"เรียนยากไหมครับ
",1
53,"เรียนยากไหม
",1
27,"เรียนยากไหม
",1
22,"เรียนยากไหม
",1
60,"เรียนยากไหม
",1
29,"ค่าเทอมเท่าไหร่
",2
45,"ค่าเทอมเท่าไหร่ครับ 
",2
62,"ค่าเทอมเท่าไหร่
",2
