,text,centroids_id,dist_score,avg_dist
0,"สวัสดีค่ะ 
",0,2.2363303936170177e-16,2.2363303936170177e-16
59,"สวัสดีครับ
",0,2.2363303936170177e-16,2.2363303936170177e-16
48,"สวัสดีครับ
",0,2.2363303936170177e-16,2.2363303936170177e-16
41,"สวัสดี
",0,2.2363303936170177e-16,2.2363303936170177e-16
30,"สวัสดี
",0,2.2363303936170177e-16,2.2363303936170177e-16
26,"สวัสดีครับ
",0,2.2363303936170177e-16,2.2363303936170177e-16
25,"สวัสดีค่ะ
",0,2.2363303936170177e-16,2.2363303936170177e-16
24,"สวัสดีจ้า
",0,2.2363303936170177e-16,2.2363303936170177e-16
15,"สวัสดี
",0,2.2363303936170177e-16,2.2363303936170177e-16
31,"ขอข้อมูลหลักสูตรหน่อย 
",1,0.0,0.0
1,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",1,0.0,0.0
34,"เรียนกี่ปีครับ
",2,0.431693165103608,0.3318351953278329
2,"เรียนกี่ปีจบ
",2,0.20981100443588024,0.3318351953278329
61,"กี่ปีจบ
",2,0.35400141644401045,0.3318351953278329
3,"ค่าเทอมกี่บาท
",3,0.18260509706726724,0.2434734627563563
38,"ค่าเทอมกี่บาท
",3,0.18260509706726724,0.2434734627563563
47,"ค่าเทอมเทอมละกี่บาทคะ
",3,0.3652101941345345,0.2434734627563563
4,"เรียนแมทกี่ตัว
",4,0.7725073694419143,0.7749002360859133
20,"สนใจเรียนสมัครอย่างไรคะ
",4,0.7766877867959093,0.7749002360859133
23,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",4,0.7755055520199162,0.7749002360859133
50,"มีที่พักไหมครับ
",5,0.0,0.0
5,"มีที่พักไหมคะ
",5,0.0,0.0
6,"เรียนจบไปทำงานอะไร
",6,0.585836991515275,0.585836991515275
54,"จบไปทำอะไร 
",6,0.5858369915152751,0.585836991515275
7,"มีหอพักสำหรับนักศึกษามั้ยคะ
",7,0.0,0.0
8,"ค่าหอเท่าไหร่คะ
",8,0.0,0.0
37,"ค่าหอเท่าไหร่
",8,0.0,0.0
42,"เรียนยากไหมครับ
",9,0.17938081397411867,0.32631733374359945
27,"เรียนยากไหม
",9,0.17938081397411867,0.32631733374359945
53,"เรียนยากไหม
",9,0.17938081397411867,0.32631733374359945
57,"สาขานี้เรียนยากไหม
",9,0.7283817268597013,0.32631733374359945
60,"เรียนยากไหม
",9,0.17938081397411867,0.32631733374359945
22,"เรียนยากไหม
",9,0.17938081397411867,0.32631733374359945
9,"เรียนยากมั้ยคะ 
",9,0.6589355394749011,0.32631733374359945
10,"ขอระเบียบการหอพัก
",10,0.3995763270191522,0.3995763270191522
33,"มีหอพักไหมครับ
",10,0.3995763270191522,0.3995763270191522
11,"เปิดเทอมวันไหน 
",11,0.7071067811865475,0.7071067811865475
21,"ขอเว็ปมหาลัยหน่อยจ้า
",11,0.7071067811865476,0.7071067811865475
12,"Hi
",12,0.0,0.0
14,"สายศิลป์เรียนได้ไหม
",13,0.555027630981939,0.5550276309819391
13,"จบอะไรถึงเรียนได้คะ
",13,0.5550276309819391,0.5550276309819391
36,"ตึกสาขาอยู่ที่ไหนครับ
",14,0.5592281025355715,0.5592281025355715
16,"สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
",14,0.5592281025355715,0.5592281025355715
17,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",15,0.0,0.0
18,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",16,0.0,0.0
58,"หวัดดีครับ
",17,0.7071067811865476,0.7071067811865476
19,"อรุณสวัสดิ์ค่ะ :)
",17,0.7071067811865476,0.7071067811865476
52,"ขอเว็บไซต์คณะหน่อยหน่อยครับ
",18,0.666707895650936,0.5492541269318131
56,"ขอลิ้งค์เว็บไซต์สาขาหน่อย
",18,0.5351964340072045,0.5492541269318131
28,"ขอเว็บไซต์สาขาหน่อย
",18,0.44585805113729876,0.5492541269318131
62,"ค่าเทอมเท่าไหร่
",19,1.3877787807814457e-17,1.3877787807814457e-17
45,"ค่าเทอมเท่าไหร่ครับ 
",19,1.3877787807814457e-17,1.3877787807814457e-17
29,"ค่าเทอมเท่าไหร่
",19,1.3877787807814457e-17,1.3877787807814457e-17
32,"ขอดูหลักสูตรหน่อย
",20,0.0,0.0
55,"ขอดูหลักสูตรหน่อย 
",20,0.0,0.0
35,"สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
",21,0.0,0.0
44,"ขอเว็บสาขาหน่อย
",22,0.6128610811577601,0.6128610811577601
39,"ขอรายวิชาในสาขาหน่อย
",22,0.6128610811577601,0.6128610811577601
40,"เทอมนี้มีวิชาอะไรบ้าง 
",23,0.6227691558476968,0.6227691558476967
46,"ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
",23,0.6227691558476967,0.6227691558476967
43,"ขอรายละเอียดหลักสูตรหน่อย
",24,1.1102230246251565e-16,1.1102230246251565e-16
49,"ค่าเทอม เทอมละเท่าไหร่ครับ
",25,0.0,0.0
51,"ค่าหอราคาเท่าไหร่ครับ
",26,0.0,0.0
