,text,centroids_id
12,"เปิดเทอมวันไหน
",0
5,"เรียนแมทกี่ตัว
",0
21,"สนใจเรียนสมัครอย่างไรคะ
",1
3,"เรียนกี่ปีจบ
",1
14,"จบอะไรถึงเรียนได้คะ
",1
7,"เรียนจบไปทำงานอะไร
",1
10,"เรียนยากมั้ยคะ
",1
22,"ขอเว็ปมหาลัยหน่อยจ้า
",2
11,"ขอระเบียบการหอพัก
",2
24,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",2
2,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",2
8,"มีหอพักสำหรับนักศึกษามั้ยคะ
",3
6,"มีที่พักไหมคะ
",3
4,"ค่าเทอมกี่บาท
",4
18,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",4
19,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",4
9,"ค่าหอเท่าไหร่คะ
",4
16,"สวัสดี
",5
17,"สวัสดีครับตึกสาขาตั้งอยู่ตรงไหนครับ
",5
1,"สวัสดีค่ะ
",5
20,"อรุณสวัสดิ์ค่ะ:)
",6
13,"Hi
",7
23,"เรียนยากไหม
",8
15,"สายศิลป์เรียนได้ไหม
",8
0,"Addedanewnote.
",9
