,text,centroids_id
0,"Addedanewnote.
",-1
22,"ขอเว็ปมหาลัยหน่อยจ้า
",-1
21,"สนใจเรียนสมัครอย่างไรคะ
",-1
20,"อรุณสวัสดิ์ค่ะ:)
",-1
19,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",-1
18,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",-1
17,"สวัสดีครับตึกสาขาตั้งอยู่ตรงไหนครับ
",-1
16,"สวัสดี
",-1
15,"สายศิลป์เรียนได้ไหม
",-1
14,"จบอะไรถึงเรียนได้คะ
",-1
13,"Hi
",-1
23,"เรียนยากไหม
",-1
12,"เปิดเทอมวันไหน
",-1
10,"เรียนยากมั้ยคะ
",-1
9,"ค่าหอเท่าไหร่คะ
",-1
8,"มีหอพักสำหรับนักศึกษามั้ยคะ
",-1
7,"เรียนจบไปทำงานอะไร
",-1
6,"มีที่พักไหมคะ
",-1
5,"เรียนแมทกี่ตัว
",-1
4,"ค่าเทอมกี่บาท
",-1
3,"เรียนกี่ปีจบ
",-1
2,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",-1
1,"สวัสดีค่ะ
",-1
11,"ขอระเบียบการหอพัก
",-1
24,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",-1
