,text,centroids_id
2,"ราดหน้าหมูนุ่มมาก
",0
27,"ขอจองโต๊ะได้มั้ยคะ
",1
13,"มีเมนูแนะนำมั้ยคะ
",1
22,"ขอสั่งก๋วยเตี๋ยวคั่วไก่ไม่ใส่ผักค่ะ
",2
5,"ผัดผักรสชาติเลวร้ายมากค่ะมีแต่ผัก
",2
16,"ข้าวบูดรึป่าวเหม็นมาก
",3
11,"สั่งข้าวหน่อย
",3
6,"จะสั่งออนไลน์ต้องทำยังไงคะ
",3
29,"ทำอะไรได้บ้าง
",4
21,"มีอะไรกินบ้าง
",4
28,"มีบริการอะไรบ้าง
",4
31,"หวัดดีจ้าา
",5
10,"โหลๆจองโต๊ะหน่อยจ้า
",5
20,"ดีจ้าาา
",5
8,"ร้านเปิดกี่
",6
4,"พรุ่งนี้ร้านเปิดไหมคะ
",6
37,"ร้านนี้มีคนละครึ่งไหมคะ
",6
12,"หิวมากกกๆๆข้าวจะมายัง
",7
15,"พนักงานเสียมารยาทมาก
",7
1,"ส้มตำแซ่บมากเยี่ยมมม
",7
32,"hi
",8
17,"แกงเลียงรสชาติกลมกล่อมสุดๆ
",9
0,"ราคาแพงโคตรๆ
",9
19,"สวัสดี
",10
18,"กินข้าวร้านนี้แล้วท้องเสียแย่
",11
14,"ที่ร้านบริการแย่มาก
",11
7,"ตอนนี้ไปที่ร้านได้มั้ย
",11
33,"ร้านอยู่ไหน
",11
24,"สั่งอาหารหน่อยค่ะ
",12
25,"สั่งอาหารมาน่าทานมาก
",12
3,"กระเพรารสชาติดีค่ะแต่ใส่ถั่วฝักยาวเยอะไปหน่อย
",12
34,"ข้าวต้มอร่อยมากค่ะ
",12
36,"ช่วยปรับปรุงหน่อยนะ
",12
9,"อยากโดนช้อนแกงจังเลยค้าบบบ
",13
38,"มีเราชนะเปล่า
",14
26,"แต่รสชาติห่วยโคตร
",15
30,"ราคาโอเคแต่รสชาติควรปรับปรุง
",15
35,"แต่ชาเย็นหวานเกิน
",15
23,"ไม่ชอบที่ใส่ผักกาดมาในแกงจืด
",16
