text,centroids_id,dist_score
ค่าเทอมเทอมละกี่บาทคะ,-1,-1.0
เรียนปีละกี่เทอม,-1,-1.0
จบสายศิลป์เรียนได้ไหม,-1,-1.0
ลงทะเบียนเรียนตอนไหนครับ,-1,-1.0
กี่ปีจบ,-1,-1.0
หวัดดีครับ,-1,-1.0
สาขานี้เรียนยากไหม,-1,-1.0
ขอลิ้งค์เว็บไซต์สาขาหน่อย,-1,-1.0
จบสายศิลป์เข้าเรียนที่นี่ได้ไหมครับ,-1,-1.0
ขอดูหลักสูตรหน่อย ,-1,-1.0
ขอเว็บไซต์คณะหน่อยหน่อยครับ,-1,-1.0
ค่าหอราคาเท่าไหร่ครับ,-1,-1.0
มีที่พักไหมครับ,-1,-1.0
ค่าเทอม เทอมละเท่าไหร่ครับ,-1,-1.0
ลงทะเบียนเรียนวันไหนคะ,-1,-1.0
ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ,-1,-1.0
ขอเว็บสาขาหน่อย,-1,-1.0
จบไปทำอะไร ,-1,-1.0
ค่าหอพักราคาเท่าไรหรอคะ,-1,-1.0
ขอเว็บไซต์สาขาหน่อยครับ,-1,-1.0
ขอวิธีการดรอปเรียนหน่อยค่ะ,-1,-1.0
ที่นี่เรียนยากรึเปล่า,-1,-1.0
จบไปทำงานอะไรได้บ้าง,-1,-1.0
ค่าเทอมราคาเท่าไร,-1,-1.0
ตึกสาขาตั้งอยู่ที่ไหน,-1,-1.0
เรียนกี่เทอมต่อปี,-1,-1.0
หอพักราคาเท่าไหร่คะ,-1,-1.0
hi,-1,-1.0
เรียนกี่ปีจบคะ,-1,-1.0
สนใจสมัครเรียนอย่างไรครับ,-1,-1.0
ค่าหอพักราคาเท่าไรคะ,-1,-1.0
ตึกสาขาอยู่ตรงไหนคะ,-1,-1.0
Hi,-1,-1.0
ที่นี่เรียนปีละกี่เทอม,-1,-1.0
ที่นี่เรียนยากไหมคะ,-1,-1.0
จบไปทำอะไรคะ,-1,-1.0
ที่นี่เรียนยากไหมครับ,-1,-1.0
ให้ลงทะเบียนเรียนวันไหนหรอครับ,-1,-1.0
ขอรายละเอียดหลักสูตรหน่อย,-1,-1.0
เทอมนี้มีวิชาอะไรบ้าง ,-1,-1.0
จบสายศิลป์มาเรียนได้รึเปล่าคะ,-1,-1.0
ขอระเบียบการหอพัก,-1,-1.0
ขอรายวิชาในสาขาหน่อย,-1,-1.0
อรุณสวัสดิ์ค่ะ :),-1,-1.0
ขอระเบียบการดรอปเรียนหน่อยค่ะ,-1,-1.0
ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด,-1,-1.0
เปิดเรียนปีการศึกษาละกี่เทอมคะ,-1,-1.0
สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ,-1,-1.0
สายศิลป์เรียนได้ไหม,-1,-1.0
จบอะไรถึงเรียนได้คะ,-1,-1.0
Hi,-1,-1.0
เปิดเทอมวันไหน ,-1,-1.0
ขอเว็บไซต์สาขาหน่อย,-1,-1.0
สนใจเรียนสมัครอย่างไรคะ,-1,-1.0
ขอเว็ปมหาลัยหน่อยจ้า,-1,-1.0
ค่าหอเท่าไหร่คะ,-1,-1.0
มีหอพักสำหรับนักศึกษามั้ยคะ,-1,-1.0
ขอดูหลักสูตรหน่อย,-1,-1.0
มีหอพักไหมครับ,-1,-1.0
เรียนกี่ปีครับ,-1,-1.0
เรียนจบไปทำงานอะไร,-1,-1.0
สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ,-1,-1.0
ตึกสาขาอยู่ที่ไหนครับ,-1,-1.0
มีที่พักไหมคะ,-1,-1.0
ค่าหอเท่าไหร่,-1,-1.0
เรียนแมทกี่ตัว,-1,-1.0
เรียนกี่ปีจบ,-1,-1.0
เรียนยากมั้ยคะ ,-1,-1.0
สวัสดีค่ะ,0,0.0
สวัสดี,0,0.0
สวัสดี,0,0.0
สวัสดีค่ะ ,0,0.0
สวัสดีครับ,0,0.0
สวัสดีจ้า,0,0.0
สวัสดี,0,0.0
สวัสดีค่ะ,0,0.0
สวัสดีครับ,0,0.0
สวัสดีครับ,0,0.0
ขอข้อมูลหลักสูตรหน่อยค่ะ,1,0.0
ขอข้อมูลหลักสูตรหน่อยครับ,1,0.0
ขอข้อมูลหลักสูตรหน่อย ,1,0.0
ค่าเทอมกี่บาท,2,0.0
ค่าเทอมกี่บาท,2,0.0
ค่าเทอมกี่บาท,2,0.0
เรียนยากไหม,3,1.1102230246251565e-16
เรียนยากไหม,3,1.1102230246251565e-16
เรียนยากไหม,3,1.1102230246251565e-16
เรียนยากไหมครับ,3,1.1102230246251565e-16
เรียนยากไหม,3,1.1102230246251565e-16
ค่าเทอมเท่าไหร่,4,0.0
ค่าเทอมเท่าไหร่,4,0.0
ค่าเทอมเท่าไหร่,4,0.0
ค่าเทอมเท่าไหร่ครับ ,4,0.0
ลงทะเบียนเรียนวันไหน ,5,0.0
ลงทะเบียนเรียนวันไหนครับ,5,0.0
ลงทะเบียนเรียนวันไหน ,5,0.0
