centroids_id,number,sse
0,28,0.0
1,3,1.848892746611747e-32
2,10,6.162975822039156e-32
3,4,0.0
4,11,6.101346063818762e-31
5,5,0.0
6,3,0.0
7,13,8.011868568650903e-31
8,3,9.244463733058732e-33
9,40,4.9303806576313245e-30
10,7,1.0785207688568523e-31
11,12,4.4373425918681905e-31
12,10,1.540743955509789e-31
13,7,1.7256332301709635e-31
14,6,0.0
15,7,2.1570415377137042e-32
16,4,0.0
17,8,0.0
18,6,0.0
19,11,4.067564042545841e-31
20,7,2.1570415377137042e-32
21,3,9.244463733058732e-33
22,4,0.0
23,3,9.244463733058732e-33
24,3,0.0
25,3,0.0
26,4,0.0
27,11,2.7117093616972285e-31
28,3,0.0
29,3,9.244463733058732e-33
30,8,1.2325951644078312e-31
31,4,0.0
32,3,0.0
33,6,1.4791141972893974e-31
34,16,0.0
35,4,0.0
36,3,0.0
37,7,1.7256332301709635e-31
38,5,0.0
39,5,1.5407439555097887e-32
40,3,1.848892746611747e-32
41,3,0.0
42,3,3.697785493223493e-32
43,3,0.0
44,3,3.697785493223493e-32
45,4,0.0
-1,181,171.8013256677489
