target,intent,text
0,ทักทาย,สวัสดีค่ะ 
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดีจ้า
0,ทักทาย,Hi
0,ทักทาย,Hi
0,ทักทาย,ขอเว็ปมหาลัยหน่อยจ้า
0,ทักทาย,อรุณสวัสดิ์ค่ะ :)
0,ทักทาย,หวัดดีครับ
0,ทักทาย,hi
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อย 
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยครับ
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย 
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
1,ข้อมูลหลักสูตร,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
1,ข้อมูลหลักสูตร,เทอมนี้มีวิชาอะไรบ้าง 
1,ข้อมูลหลักสูตร,ขอรายละเอียดหลักสูตรหน่อย
2,จำนวนภาคเรียน,เรียนกี่ปีจบคะ
2,จำนวนภาคเรียน,เรียนกี่ปีครับ
2,จำนวนภาคเรียน,เรียนกี่ปีจบ
2,จำนวนภาคเรียน,กี่ปีจบ
2,จำนวนภาคเรียน,เรียนปีละกี่เทอม
2,จำนวนภาคเรียน,เรียนกี่เทอมต่อปี
2,จำนวนภาคเรียน,ที่นี่เรียนปีละกี่เทอม
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมเทอมละกี่บาทคะ
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าหอเท่าไหร่
3,ค่าเทอม,ค่าหอเท่าไหร่คะ
3,ค่าเทอม,เปิดเรียนปีการศึกษาละกี่เทอมคะ
3,ค่าเทอม,ค่าเทอม เทอมละเท่าไหร่ครับ
3,ค่าเทอม,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่ครับ 
4,เรียนคณิตศาสตร์,เรียนแมทกี่ตัว
5,ข้อมูลหอพัก,มีที่พักไหมครับ
5,ข้อมูลหอพัก,มีที่พักไหมคะ
5,ข้อมูลหอพัก,มีหอพักสำหรับนักศึกษามั้ยคะ
5,ข้อมูลหอพัก,หอพักราคาเท่าไหร่คะ
5,ข้อมูลหอพัก,มีหอพักไหมครับ
5,ข้อมูลหอพัก,ขอระเบียบการหอพัก
5,ข้อมูลหอพัก,ค่าหอราคาเท่าไหร่ครับ
5,ข้อมูลหอพัก,ค่าหอพักราคาเท่าไรคะ
5,ข้อมูลหอพัก,ค่าหอพักราคาเท่าไรหรอคะ
5,ข้อมูลหอพัก,ค่าเทอมราคาเท่าไร
6,งานในอนาคต,จบไปทำงานอะไรได้บ้าง
6,งานในอนาคต,เรียนจบไปทำงานอะไร
6,งานในอนาคต,จบไปทำอะไรคะ
6,งานในอนาคต,จบไปทำอะไร 
7,ความยากในการเรียน,เรียนยากมั้ยคะ 
7,ความยากในการเรียน,เรียนยากไหม
7,ความยากในการเรียน,เรียนยากไหม
7,ความยากในการเรียน,เรียนยากไหมครับ
7,ความยากในการเรียน,เรียนยากไหม
7,ความยากในการเรียน,เรียนยากไหม
7,ความยากในการเรียน,สาขานี้เรียนยากไหม
7,ความยากในการเรียน,ที่นี่เรียนยากไหมครับ
7,ความยากในการเรียน,ที่นี่เรียนยากไหมคะ
7,ความยากในการเรียน,ที่นี่เรียนยากรึเปล่า
8,วันลงทะเบียนเรียน,ลงทะเบียนเรียนวันไหนครับ
8,วันลงทะเบียนเรียน,ให้ลงทะเบียนเรียนวันไหนหรอครับ
8,วันลงทะเบียนเรียน,ลงทะเบียนเรียนวันไหน 
8,วันลงทะเบียนเรียน,เปิดเทอมวันไหน 
8,วันลงทะเบียนเรียน,ลงทะเบียนเรียนวันไหน 
8,วันลงทะเบียนเรียน,ลงทะเบียนเรียนตอนไหนครับ
8,วันลงทะเบียนเรียน,ลงทะเบียนเรียนวันไหนคะ
9,ข้อมูลการสมัครเรียน,จบอะไรถึงเรียนได้คะ
9,ข้อมูลการสมัครเรียน,จบสายศิลป์เรียนได้ไหม
9,ข้อมูลการสมัครเรียน,จบสายศิลป์มาเรียนได้รึเปล่าคะ
9,ข้อมูลการสมัครเรียน,สายศิลป์เรียนได้ไหม
9,ข้อมูลการสมัครเรียน,สนใจสมัครเรียนอย่างไรครับ
9,ข้อมูลการสมัครเรียน,สนใจเรียนสมัครอย่างไรคะ
9,ข้อมูลการสมัครเรียน,จบสายศิลป์เข้าเรียนที่นี่ได้ไหมครับ
10,ติดต่อสาขา,สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
10,ติดต่อสาขา,ตึกสาขาอยู่ตรงไหนคะ
10,ติดต่อสาขา,ขอลิ้งค์เว็บไซต์สาขาหน่อย
10,ติดต่อสาขา,ขอเว็บไซต์สาขาหน่อยครับ
10,ติดต่อสาขา,ขอเว็บไซต์คณะหน่อยหน่อยครับ
10,ติดต่อสาขา,ขอเว็บไซต์สาขาหน่อย
10,ติดต่อสาขา,ตึกสาขาตั้งอยู่ที่ไหน
10,ติดต่อสาขา,ตึกสาขาอยู่ที่ไหนครับ
10,ติดต่อสาขา,ขอเว็บสาขาหน่อย
10,ติดต่อสาขา,ขอรายวิชาในสาขาหน่อย
11,ข้อมูลการดรอปเรียน,ขอวิธีการดรอปเรียนหน่อยค่ะ
11,ข้อมูลการดรอปเรียน,ขอระเบียบการดรอปเรียนหน่อยค่ะ
