target,intent,text
0,ทักทาย,สวัสดีค่ะ 
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดีจ้า
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดี
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีนะคะ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีค่ะ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีฮะ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,สวัสดีครับ
0,ทักทาย,ขอเว็บมหาลัยหน่อยครับ
0,ทักทาย,แต้งกิ้วจ้า
0,ทักทาย,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
0,ทักทาย,[Sticker]
0,ทักทาย,สวัสดีครับบ
0,ทักทาย,ขอเว็ปมหาลัยหน่อยจ้า
0,ทักทาย,ขอบคุณจ๊ะ
0,ทักทาย,Hi
0,ทักทาย,แต้งกิ้ว
0,ทักทาย,อรุณสวัสดิ์ค่ะ :)
0,ทักทาย,เรียนแมทยากไหม
0,ทักทาย,ขอเว็บมหาลัยหน่อยครับ
0,ทักทาย,hi
0,ทักทาย,ขอบบคุณค่าา
0,ทักทาย,แต้งกิ้ว
0,ทักทาย,แต้งกิ้ว
0,ทักทาย,ขอบตุณค่ะ
0,ทักทาย,Hi
0,ทักทาย,เรียแมทยากป่าว
0,ทักทาย,เรียนแมทยากป่าว 
0,ทักทาย,หวัดดีครับ
0,ทักทาย,หวัดดี
0,ทักทาย,หวัดดีครับ
0,ทักทาย,หวัดดี 
0,ทักทาย,หวัดดีครับ
0,ทักทาย,หวัดดีครับ
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยครับ
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อย 
1,ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ดูหลักสูตรสาขาหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อยได้ไหมคะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย 
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรค่ะ
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอดูหลักสูตรสาขาค่ะ
1,ข้อมูลหลักสูตร,ขอรายวิชาในสาขาหน่อย
1,ข้อมูลหลักสูตร,ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
1,ข้อมูลหลักสูตร,เทอมนี้มีวิชาอะไรบ้าง 
1,ข้อมูลหลักสูตร,ขอรายละเอียดหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
1,ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
1,ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
1,ข้อมูลหลักสูตร,ต้องจบอะไรมา
1,ข้อมูลหลักสูตร,ขอดูหลังสูตรหน่อย 
1,ข้อมูลหลักสูตร,อยากรู้หลักสูตรของที่นี่ค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอหลักสูตรค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
1,ข้อมูลหลักสูตร,ขอหลักสูตรหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรสาขาหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรของสาขาหน่อยค่ะ
1,ข้อมูลหลักสูตร,ขอหลักสูตรสาขา
1,ข้อมูลหลักสูตร,เรียนอะไรบ้าง
1,ข้อมูลหลักสูตร,เทอมนี้เรียนอะไรบ้าง
2,ระยะเวลาเรียน,เรียนกี่ปีจบคะ
2,ระยะเวลาเรียน,เรียนกี่ปีจบคะ
2,ระยะเวลาเรียน,เรียนกี่ปีจบ
2,ระยะเวลาเรียน,เรียนกี่ปีจบครับ
2,ระยะเวลาเรียน,เรียนกี่ปีจบครับ
2,ระยะเวลาเรียน,เรียนกี่ปีจบ
2,ระยะเวลาเรียน,เรียนกี่ปีจบครับ
2,ระยะเวลาเรียน,เรียนกี่ปีจบ
2,ระยะเวลาเรียน,เรียนปีละกี่เทอม
2,ระยะเวลาเรียน,เปิดเรียนปีการศึกษาละกี่เทอมคะ
2,ระยะเวลาเรียน,เรียนกี่เทอมต่อปี
2,ระยะเวลาเรียน,เรียนกี่ปี
2,ระยะเวลาเรียน,เรียนกี่ปีครับ
2,ระยะเวลาเรียน,กี่ปีจบ
2,ระยะเวลาเรียน,ที่นี่เรียนกี่ปีจบคะ
2,ระยะเวลาเรียน,ที่นี่เรียนปีละกี่เทอม
2,ระยะเวลาเรียน,เรียนกี่ปีครับ
2,ระยะเวลาเรียน,เรียนกี่ปีครับ 
2,ระยะเวลาเรียน,เรียนกี่ปีครับ
2,ระยะเวลาเรียน,เรียนกี่ปีคะ
2,ระยะเวลาเรียน,เรียนจบในกี่ปีหรอคะ
2,ระยะเวลาเรียน,เรียนจบในกี่ปีหรอคะ
2,ระยะเวลาเรียน,เรียนจบในกีปี่คะ
2,ระยะเวลาเรียน,เรียนกีปี่จบคะ
2,ระยะเวลาเรียน,เรียนยากกไหม
2,ระยะเวลาเรียน,เรียนกี่ปีจบหรอคะ
2,ระยะเวลาเรียน,เรียนกี่ปีจบ
2,ระยะเวลาเรียน,เรียนกี่ปีจบ
2,ระยะเวลาเรียน,เรียนกี่ปีถึงจะจบครับ
2,ระยะเวลาเรียน,เรียนกี่ปีถึงจะจบครับ
2,ระยะเวลาเรียน,เรียนกีปีจบคะ
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมกี่บาท
3,ค่าเทอม,ค่าเทอมเท่าไรคะ
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไร
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่ครับ
3,ค่าเทอม,ค่าเทอมเท่าไรคะ
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไหร่ครับ
3,ค่าเทอม,ค่าเทอมเท่าไรคะ
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมเท่าไรคะ
3,ค่าเทอม,ค่าเทอมเท่าไรคะ
3,ค่าเทอม,ค่าเทอมเท่าไหร่ครับ 
3,ค่าเทอม,ค่าเทอมเท่าไรหรอคะ
3,ค่าเทอม,ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอมราคาเท่าไร
3,ค่าเทอม,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
3,ค่าเทอม,ค่าเทอมเทอมละกี่บาทคะ
3,ค่าเทอม,ค่าเทอมเทอมละเท่าไรหรอคะ
3,ค่าเทอม,ค่าเทอม เทอมละเท่าไหร่
3,ค่าเทอม,ค่าเทอมเทอมละเท่าไหร่คะ
3,ค่าเทอม,ค่าเทอม เทอมละเท่าไหร่
3,ค่าเทอม,เทอมนี้ ค่าเทอมเท่าไหร่
3,ค่าเทอม,ค่าเทอม เทอมละเท่าไหร่ครับ
3,ค่าเทอม,หอพักราคาเท่าไหร่คะ
3,ค่าเทอม,หอพักราคาเท่าไรคะ
3,ค่าเทอม,ค่าเทอมแพงไหมครับ
3,ค่าเทอม,ค่าเทอมแพงไหม
3,ค่าเทอม,ค่าเทอมแพงไหม
3,ค่าเทอม,หอพักที่นี่ราคาเท่าไรคะ
4,เรียนแมธ,มีเรียนแมทกี่ตัวคะ
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัวคะ
4,เรียนแมธ,ต้องเรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัวคะ
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,ต้องเรียนแมทกี่ตัวคะ
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัวครับ
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทกี่ตัว
4,เรียนแมธ,เรียนแมทเยอะไหม
4,เรียนแมธ,เรียนแมทเยอะป่าว
4,เรียนแมธ,เรียนแมทเยอะป่าว
4,เรียนแมธ,เรียนแมทเยอะไหม
4,เรียนแมธ,ต้องเรียนแมทป่าว
4,เรียนแมธ,มีแมทกี่ตัวคะ
4,เรียนแมธ,มีแมทกี่ตัวคะ
5,ข้อมูลหอพัก,มีที่พักไหม
5,ข้อมูลหอพัก,มีที่พักไหม
5,ข้อมูลหอพัก,มีที่พักป่าว
5,ข้อมูลหอพัก,มีที่พักไหมคะ
5,ข้อมูลหอพัก,มีที่พักไหมครับ
5,ข้อมูลหอพัก,มีที่พักไหม
5,ข้อมูลหอพัก,มีหอพักรึเปล่าคะ
5,ข้อมูลหอพัก,มีหอพักในมอไหม
