intent,query,response
ติดต่อสาขา,ติดต่อสาขายังไง,"ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112, โทรศัพท์ 0-7428-8578, 0-7428-8575, โทรสาร 0-7428-8575 เว็บไซต์ https://office.cs.psu.ac.th"
ติดต่อสาขา,ติดต่อสาขายังไงคะ,
ติดต่อสาขา,ติดต่อสาขาบังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ติดต่อสาขายังไง,
ติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
ติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
ติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
