intent,query,response
วันเปิดเทอม,เปิดเทอมวันไหน,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมเมื่อไหร่,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน ,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เทอมนี้เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหนครับ,
วันเปิดเทอม,เปิดเรียนวันไหนครับ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมเมื่อไรคะ,
วันเปิดเทอม,เปิดเทอมเมื่อไร,
วันเปิดเทอม,เปิดเทอมเมื่อไร,
วันเปิดเทอม,เปิดเทอมตอนไหนครับ,
