intent,query,response
การเรียน,เรียนยากไหมครับ ,ถ้าชอบเขียนโค้ดก็ไม่ยากครับ
การเรียน,เรียนยากป่าว,ไม่ยากครับ ถ้าตั้งใจก็ทำได้
การเรียน,เรียนยากไหมครับ,แค่ใจรัก ก็เรียนได้
การเรียน,เรียนยากไหม,
การเรียน,เรียนยากไหมครับ,
การเรียน,สาขานี้เรียนยากไหม,
การเรียน,เรียนยากไหม,
การเรียน,ที่นี่เรียนยากรึเปล่า,
การเรียน,ที่นี่เรียนยากไหมคะ,
การเรียน,เรียนแมทเยอะไหม,
การเรียน,เรียนยากมั้ยคะ ,
การเรียน,เรียนยากไหมครับ ,
การเรียน,ที่นี่เรียนยากไหมครับ,
การเรียน,เรียนแมทเยอะไหม,
การเรียน,เรียนยากไหม ,
การเรียน,เรียนยากไหม,
การเรียน,เรียนยากไหม,
