intent,query,response
ขอบคุณ,ขอบคุณครับ,ด้วยความเต็มใจครับ
ขอบคุณ,ขอบคุณครับ,ยินดีครับ
ขอบคุณ,ขอบคุณ,ด้วยความยินดีครับ
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณมากๆครับ,
ขอบคุณ,ขอบคุณมากๆ ค่ะ,
ขอบคุณ,ขอบคุณค่ะ,
ขอบคุณ,ขอบคุณค่ะ,
ขอบคุณ,ขอบคุณค่ะ,
ขอบคุณ,ขอบคุณมากครับ,
ขอบคุณ,ขอบคุณมากๆครับ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณมากๆครับ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณมากๆครับ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณมากๆ,
ขอบคุณ,ขอบคุณ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณ,
ขอบคุณ,ขอบคุณครับ,
ขอบคุณ,ขอบคุณมากๆครับ,
ขอบคุณ,ขอบคุณมากครับ,
ขอบคุณ,ขอบใจมากๆ,
ขอบคุณ,ขอบใจจ๊ะ,
ขอบคุณ,ขอบใจครับ,
ขอบคุณ,ขอบคุณนะ,
ขอบคุณ,ขอบคุณนะคะ,
ขอบคุณ,ขอบคุณนะครับ,
ขอบคุณ,ขอบคุณนะคะ,
ขอบคุณ,ขอบคุณนะ,
ขอบคุณ,ขอบใจนะ,
ขอบคุณ,ขอบใจนะ,
ขอบคุณ,ขอบใจนะ,
ขอบคุณ,ขอบใจนะคะ,
