intent,query,response
ข้อมูลการสมัครเรียน,จบอะไรถึงเรียนได้คะ,โดยทั่วไปแล้วสาขาของเราอยู่ในคณะวิทยาศาสตร์ ฉะนั้นหลักสูตรที่รับก็จะเป็นสายวิทย์-คณิตครับ
ข้อมูลการสมัครเรียน,จบสายศิลป์มาเรียนได้รึเปล่าคะ,
ข้อมูลการสมัครเรียน,จบสายศิลป์เข้าเรียนที่นี่ได้ไหมครับ,
ข้อมูลการสมัครเรียน,จบสายศิลป์เรียนได้ไหม,
ข้อมูลการสมัครเรียน,สายศิลป์เรียนได้ไหม,
ข้อมูลการสมัครเรียน,สมัครยังไง ,
ข้อมูลการสมัครเรียน,สนใจเรียนสมัครอย่างไรคะ,
ข้อมูลการสมัครเรียน,สมัครยังไง,
ข้อมูลการสมัครเรียน,สนใจสมัครเรียนอย่างไรครับ,
ข้อมูลการสมัครเรียน,ขอข้อมูลการสมัครเรียนหน่อยครับ,
ข้อมูลการสมัครเรียน,ติดต่อสาขายังไง,
ข้อมูลการสมัครเรียน,สมัครเรียนยังไง,
ข้อมูลการสมัครเรียน,ต้องจบอะไรมา,
ข้อมูลการสมัครเรียน,ต้องเรียนอะไรบ้าง,
