intent,query,response
ข้อมูลติดต่อสาขา,ติดต่อสาขาบังไง,"สามารถติดต่อสาขาได้ที่ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112, โทรศัพท์ 0-7428-8578, 0-7428-8575, โทรสาร 0-7428-8575 เว็บไซต์ https://office.cs.psu.ac.th ได้เลยครับ"
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไง,
ข้อมูลติดต่อสาขา,ติดต่อสาขายังไงคะ,
ข้อมูลติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
ข้อมูลติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
ข้อมูลติดต่อสาขา,ขอช่องทางติดต่อสาขาหน่อยค่ะ,
