intent,query
ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อย 
ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยค่ะ
ข้อมูลหลักสูตร,ขอข้อมูลหลักสูตรหน่อยครับ
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย 
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อยค่ะ
ข้อมูลหลักสูตร,ดูหลักสูตรสาขาหน่อยค่ะ
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อยได้ไหมคะ
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรสาขาค่ะ
ข้อมูลหลักสูตร,ขอดูหลังสูตรหน่อย 
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอดูหลักสูตรค่ะ
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อ
ข้อมูลหลักสูตร,ขอดูหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
ข้อมูลหลักสูตร,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
ข้อมูลหลักสูตร,ขอรายวิชาในสาขาหน่อย
ข้อมูลหลักสูตร,เทอมนี้เรียนอะไรบ้าง
ข้อมูลหลักสูตร,เทอมนี้มีวิชาอะไรบ้าง 
ข้อมูลหลักสูตร,ขอรายละเอียดหลักสูตรหน่อย
ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
ข้อมูลหลักสูตร,เรียนอะไรบ้าง
ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
ข้อมูลหลักสูตร,ต้องเรียนอะไรบ้าง
ข้อมูลหลักสูตร,อยากรู้หลักสูตรของที่นี่ค่ะ
ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอหลักสูตรหน่อยค่ะ
ข้อมูลหลักสูตร,ขอหลักสูตรค่ะ
ข้อมูลหลักสูตร,ขอหลักสูตรหน่อย
ข้อมูลหลักสูตร,ขอหลักสูตรหน่อยค่ะ
ข้อมูลหลักสูตร,ขอหลักสูตรของสาขาหน่อยค่ะ
ข้อมูลหลักสูตร,ขอหลักสูตรสาขา
ข้อมูลหลักสูตร,ขอหลักสูตรสาขาหน่อยค่ะ
