intent,query,response
ข้อมูลหอพัก,มีที่พักไหม,ทางมหาวิทยาลับเปิดให้นักศึกษาสามารถเข้าพักภายในหอพักในได้ โดยสามารถดูข้อมูลรายละเอียดได้ตามลิงค์นี้เลยครับ https://dorm.psu.ac.th/system/
ข้อมูลหอพัก,มีที่พักไหม,สามารถดูข้อมูลรายละเอียดได้ตามลิงค์นี้เลยครับ https://dorm.psu.ac.th/system/
ข้อมูลหอพัก,มีที่พักป่าว,
ข้อมูลหอพัก,มีที่พักไหมคะ,
ข้อมูลหอพัก,มีที่พักไหมครับ,
ข้อมูลหอพัก,มีที่พักไหม,
ข้อมูลหอพัก,มีหอพักรึเปล่าคะ,
ข้อมูลหอพัก,มีหอพักในมอไหม,
ข้อมูลหอพัก,มีหอพักสำหรับนักศึกษามั้ยคะ,
ข้อมูลหอพัก,ค่าหอเท่าไหร่,
ข้อมูลหอพัก,ค่าหอพักราคาเท่าไรคะ,
ข้อมูลหอพัก,ค่าหอพักราคาเท่าไรหรอคะ,
ข้อมูลหอพัก,ค่าหอราคาเท่าไหร่ครับ,
ข้อมูลหอพัก,ค่าหอเท่าไรคะ,
ข้อมูลหอพัก,ค่าหอเท่าไหร่คะ,
ข้อมูลหอพัก,ค่าหอเท่าไหร,
ข้อมูลหอพัก,ค่าหอเท่าไหร่,
ข้อมูลหอพัก,ขอระเบียบการหอพัก,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,มีหอพักป่าว,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,มีหอพักให้ป่าว,
ข้อมูลหอพัก,มีหอพักให้พักไหมคะ,
ข้อมูลหอพัก,มีหอพักป่าว,
ข้อมูลหอพัก,มีหอพักไหมครับ,
ข้อมูลหอพัก,ที่นี่มีหอพักไหมคะ,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,หอพักมีกี่หอคะ,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,มีหอพักป่าว,
ข้อมูลหอพัก,มีหอพักไหม,
ข้อมูลหอพัก,หอพักตั้งอยู่ตรงไหนหรอคะ,
ข้อมูลหอพัก,ที่มอมีหอพักไหมคะ,
ข้อมูลหอพัก,ที่มอมีหอพักไหมคะ,
ข้อมูลหอพัก,หอพักอยุ่ไหนคะ,
ข้อมูลหอพัก,ที่พักของมอ,
ข้อมูลหอพัก,ที่พัก,
ข้อมูลหอพัก,มีพี่พักบ้างไหน,
ข้อมูลหอพัก,ที่พัก,
ข้อมูลหอพัก,หาที่พักให้หน่อย,
ข้อมูลหอพัก,ที่พัก,
ข้อมูลหอพัก,ที่พัก,
