intent,query,response
ติดต่อสาขา,สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ,"ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112, โทรศัพท์ 0-7428-8578, 0-7428-8575, โทรสาร 0-7428-8575 เว็บไซต์ https://office.cs.psu.ac.th"
ติดต่อสาขา,ตึกสาขาตั้งอยู่ที่ไหน,
ติดต่อสาขา,ขอเว็บสาขาหน่อย,
ติดต่อสาขา,ขอรายวิชาในสาขาหน่อย,
ติดต่อสาขา,ขอเว็ปมหาลัยหน่อยจ้า,
ติดต่อสาขา,ขอลิ้งค์เว็บไซต์สาขาหน่อย,
ติดต่อสาขา,ขอเว็บไซต์คณะหน่อยหน่อยครับ,
ติดต่อสาขา,ขอเว็บไซต์สาขาหน่อยครับ,
ติดต่อสาขา,ขอเว็บไซต์สาขาหน่อย,
ติดต่อสาขา,สาขาอยู่ไหน ,
ติดต่อสาขา,ตึกสาขาอยู่ที่ไหนครับ,
ติดต่อสาขา,ตึกสาขาอยู่ตรงไหนคะ,
ติดต่อสาขา,สาขาอยู่ตรงไหนครับ,
ติดต่อสาขา,ติดต่อสาขาบังไง,
