intent,query,response
ทักทาย,สวัสดีค่ะ ,สวัสดีครับบบ
ทักทาย,สวัสดีค่ะ,สวัสดีครับ
ทักทาย,สวัสดี,สวัสดีครับ มีอะไรอยากสอบถามรึเปล่าครับ
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีค่ะ,
ทักทาย,สวัสดีจ้า,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีค่ะ,
ทักทาย,สวัสดี,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีค่ะ,
ทักทาย,สวัสดี,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีนะคะ,
ทักทาย,สวัสดีค่ะ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีค่ะ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีฮะ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,สวัสดีครับ,
ทักทาย,ขอเว็บมหาลัยหน่อยครับ,
ทักทาย,แต้งกิ้วจ้า,
ทักทาย,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด,
ทักทาย,[Sticker],
ทักทาย,สวัสดีครับบ,
ทักทาย,ขอเว็ปมหาลัยหน่อยจ้า,
ทักทาย,ขอบคุณจ๊ะ,
ทักทาย,Hi,
ทักทาย,แต้งกิ้ว,
ทักทาย,อรุณสวัสดิ์ค่ะ :),
ทักทาย,เรียนแมทยากไหม,
ทักทาย,ขอเว็บมหาลัยหน่อยครับ,
ทักทาย,hi,
ทักทาย,ขอบบคุณค่าา,
ทักทาย,แต้งกิ้ว,
ทักทาย,แต้งกิ้ว,
ทักทาย,ขอบตุณค่ะ,
ทักทาย,Hi,
ทักทาย,เรียแมทยากป่าว,
ทักทาย,เรียนแมทยากป่าว ,
ทักทาย,หวัดดีครับ,
ทักทาย,หวัดดี,
ทักทาย,หวัดดีครับ,
ทักทาย,หวัดดี ,
ทักทาย,หวัดดีครับ,
ทักทาย,หวัดดีครับ,
