intent,query
ที่ตั้งสาขา,สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
ที่ตั้งสาขา,ตึกสาขาอยู่ที่ไหนครับ
ที่ตั้งสาขา,ตึกสาขาอยู่ตรงไหนคะ
ที่ตั้งสาขา,ตึกสาขาอยู่ตรงไหน
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ที่ไหน
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ที่ไหน
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ที่ไหนคะ
ที่ตั้งสาขา,สาขาอยู่ตรงไหนครับ
ที่ตั้งสาขา,สาขาอยู่ตรงไหน
ที่ตั้งสาขา,สาขาอยู่ไหน 
ที่ตั้งสาขา,สาขาอยู่ไหน
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ตรงไหนคะ
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ตรงไหนคะ
ที่ตั้งสาขา,ตึกสาขาตั้งอยู่ตรงไหนคะ
ที่ตั้งสาขา,สาขาอยุ่ที่ไหน
