intent,query,response
วันปิดเทอม,ปิดเทอมวันไหน,วันปิดเทอมของภาคการเรียนที่ 1/2564 จะเริ่มในวันที่ 24 ตุลาคม พ.ศ.2564 ครับ  และสามารถดูข้อมูลวันเปิดเทอมและปิดเทอมเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar.aspx เลยครับ 
วันปิดเทอม,ปิดเทอมวันไหน,
วันปิดเทอม,จะปิดเทอมวันไหน,
วันปิดเทอม,ปิดเทอมวันไหน,
วันปิดเทอม,ปิดเทอมวันไหน,
วันปิดเทอม,วันปิดเทอม,
วันปิดเทอม,ปิดเทอมวันไหน,
วันปิดเทอม,จะปิดเทอมวันไหน,
วันปิดเทอม,ปิดเทอมเมื่อไหร,
วันปิดเทอม,จะปิดเทอมเมื่อไหร่,
วันปิดเทอม,ปิดเทอมเมื่อไหร่,
วันปิดเทอม,ปิดเทอมเมื่อไหร่,
วันปิดเทอม,ปิดเทอมเมื่อไหร่,
วันปิดเทอม,ปิดเทอมเมื่อไหร,
วันปิดเทอม,เมื่อไหร่จะปิดเทอม ,
วันปิดเทอม,ปิดเทอมตอนไหน,
วันปิดเทอม,ปิดวันไหน,
วันปิดเทอม,ปิดภาคเรียนวันไหน,
วันปิดเทอม,ปิดภาคเรียนวันไหน,
วันปิดเทอม,ปิดภาควันไหน,
