intent,query,response
วันเปิดเทอม,เปิดเทอมวันไหน,วันเปิดเทอมของภาคการเรียนที่ 1/2564 จะเริ่มในวันที่ 21 มิถุนายน พ.ศ.2564 ครับ  และสามารถดูข้อมูลวันเปิดเทอมและปิดเทอมเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar.aspx เลยครับ 
วันเปิดเทอม,เปิดเรียนวันไหนครับ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหนครับ,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,จะเปิดเทอมวันไหน ,
วันเปิดเทอม,เทอมนี้เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหน ,
วันเปิดเทอม,เปิดเทอมวันไหนคะ,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมวันไหน,
วันเปิดเทอม,เปิดเทอมเมื่อไหร่,
วันเปิดเทอม,เปิดเทอมเมื่อไร,
วันเปิดเทอม,เปิดเทอมเมื่อไรคะ,
วันเปิดเทอม,เปิดเทอมเมื่อไร,
วันเปิดเทอม,เปิดเทอมตอนไหน,
วันเปิดเทอม,เปิดเทอมตอนไหนครับ,
วันเปิดเทอม,เปิดภาควันไหน,
