intent,query
สมัครเรียน,สนใจเรียนสมัครอย่างไรคะ
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สนใจสมัครเรียนอย่างไรครับ
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,สมัครเรียนยังไง
สมัครเรียน,ขอข้อมูลการสมัครเรียนหน่อยครับ
สมัครเรียน,สมัครเรียนวันไหน 
สมัครเรียน,สมัครเรียนวันไหน 
สมัครเรียน,สมัครยังไง
สมัครเรียน,สมัครยังไง 
