intent,query
สอบกลางภาค,สอบมิดเทอมวันไหน
สอบกลางภาค,สอบมิดเทอมวันไหน
สอบกลางภาค,สอบมิดเทอมวันไหน
สอบกลางภาค,สอบมิดเทอมวันไหน
สอบกลางภาค,วันสอบมิดเทอมวันไหน
สอบกลางภาค,สอบกลางภาควันไหน
สอบกลางภาค,สอบกลางภาควันไหน
สอบกลางภาค,วันสอบ midterm ]
สอบกลางภาค,วันสอบ midterm 
สอบกลางภาค,midterm วันไหน
สอบกลางภาค,สอบ midterm วันไหน
สอบกลางภาค,สอบ midterm วันไหน
สอบกลางภาค,สอบ midterm วันไหน
สอบกลางภาค,midterm วันไหน
สอบกลางภาค,สอบกลางภาคเมื่อไร
สอบกลางภาค,กลางภาคสอบเมื่อไร
สอบกลางภาค,กลางภาคสอบวันไหน
สอบกลางภาค,สอบกลางภาค
สอบกลางภาค,ขอวันสอบกลางภาคหน่อย
สอบกลางภาค,ปลายภาคสอบวันไหน
สอบกลางภาค,ปลายภาคสอบวันไหน
สอบกลางภาค,ปลายภาคสอบวันไหน
สอบกลางภาค,ปลายภาคสอบตอนไหน
สอบกลางภาค,กลางภาคสอบตอนไหน
สอบกลางภาค,สอบกลางภาคตอนไหน
สอบกลางภาค,มิดเทอมวันไหน
สอบกลางภาค,กลางภาควันไหน
สอบกลางภาค,สอบกลาภาควันไหนหรอคะ
สอบกลางภาค,กลางภาคเริ่มสอบวันไหน
