intent,query
สอบปลายภาค,วันสอบไฟนอลวันไหน 
สอบปลายภาค,สอบไฟนอลเมื่อไหร่
สอบปลายภาค,ไฟนอลวันไหน
สอบปลายภาค,ไฟนอลวันไหน 
สอบปลายภาค,ไฟนอลตอนไหน
สอบปลายภาค,สอบไฟนอลวันไหน
สอบปลายภาค,สอบไฟนอลเมื่อไหร่
สอบปลายภาค,สอบไฟนอลวันไหน
สอบปลายภาค,สอบปลายภาควันไหน
สอบปลายภาค,สอบปลายภาควันไหน
สอบปลายภาค,ปลายภาควันไหน
สอบปลายภาค,สอบปลายภาควันไหนครับ
สอบปลายภาค,สอบ final วันไหน
สอบปลายภาค,final ตอนไหน
สอบปลายภาค,final วันไหน
สอบปลายภาค,final เมื่อไหร่
สอบปลายภาค,final วันไหน
สอบปลายภาค,ขอวันสอบ final หน่อย
สอบปลายภาค,สอบ final วันไหน
สอบปลายภาค,วันสอบ final
สอบปลายภาค,สอบ final วันไหน 
สอบปลายภาค,สอบ final วันไหน
สอบปลายภาค,ปลายภาคเริ่มสอบเมื่อไร
สอบปลายภาค,สอบปลายภาคเมื่อไร
สอบปลายภาค,สอบปลายภาคเมื่อไหร่
สอบปลายภาค,กลางภาคเมื่อไหร
สอบปลายภาค,ปลายภาคเมื่อไหร
สอบปลายภาค,สอบปลายภาควันไหนคะ
