intent,query
หอพัก,มีที่พักไหม
หอพัก,มีที่พักไหมครับ
หอพัก,มีที่พักไหม
หอพัก,มีที่พักป่าว
หอพัก,มีที่พักไหมคะ
หอพัก,มีที่พักไหม
หอพัก,มีหอพักสำหรับนักศึกษามั้ยคะ
หอพัก,ค่าหอเท่าไหร่
หอพัก,ค่าหอเท่าไหร่คะ
หอพัก,ค่าหอเท่าไหร่
หอพัก,ค่าหอราคาเท่าไหร่ครับ
หอพัก,ขอระเบียบการหอพัก
หอพัก,มีหอพักไหม
หอพัก,มีหอพักไหม
หอพัก,มีหอพักไหม
หอพัก,มีหอพักไหม
หอพัก,มีหอพักไหม
หอพัก,มีหอพักป่าว
หอพัก,มีหอพักไหมครับ
หอพัก,มีหอพักป่าว
หอพัก,มีหอพักป่าว
หอพัก,มีหอพักไหม
หอพัก,ค่าหอพักราคาเท่าไรคะ
หอพัก,ค่าหอพักราคาเท่าไรหรอคะ
หอพัก,หอพักราคาเท่าไหร่คะ
หอพัก,หอพักตั้งอยู่ตรงไหนหรอคะ
หอพัก,มีหอพักรึเปล่าคะ
หอพัก,ที่นี่มีหอพักไหมคะ
หอพัก,หอพักอยุ่ไหนคะ
หอพัก,มีหอพักให้ป่าว
หอพัก,มีหอพักให้พักไหมคะ
หอพัก,มีหอพักในมอไหม
หอพัก,ที่มอมีหอพักไหมคะ
หอพัก,ที่มอมีหอพักไหมคะ
หอพัก,หอพักราคาเท่าไรคะ
หอพัก,หอพักที่นี่ราคาเท่าไรคะ
หอพัก,หอพักมีกี่หอคะ
