intent,query
เรียนแมท,เรียนแมทกี่ตัวคะ
เรียนแมท,เรียนแมทกี่ตัวคะ
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัวครับ
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทกี่ตัว
เรียนแมท,เรียนแมทเยอะไหม
เรียนแมท,เรียนแมทเยอะไหม
เรียนแมท,ต้องเรียนแมทป่าว
เรียนแมท,เรียแมทยากป่าว
เรียนแมท,เรียนแมทยากป่าว 
เรียนแมท,เรียนแมทยากไหม
เรียนแมท,เรียนแมทเยอะป่าว
เรียนแมท,เรียนแมทเยอะป่าว
เรียนแมท,ต้องเรียนแมทกี่ตัว
เรียนแมท,ต้องเรียนแมทกี่ตัวคะ
เรียนแมท,มีแมทกี่ตัวคะ
เรียนแมท,มีแมทกี่ตัวคะ
เรียนแมท,มีเรียนแมทกี่ตัวคะ
