intent,query,response
เรียนแมธ,เรียนแมทกี่ตัว,เรียนทั้งหมด 7 ตัวครับ
เรียนแมธ,เรียนแมทกี่ตัว,รวมทุกปีแล้ว เรียนทั้งหมด 7 ตัวครับ
เรียนแมธ,เรียนแมทกี่ตัวครับ,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทกี่ตัวคะ,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทกี่ตัวคะ,
เรียนแมธ,เรียนแมทกี่ตัว,
เรียนแมธ,เรียนแมทเยอะไหม,
เรียนแมธ,เรียนแมทเยอะไหม,
เรียนแมธ,ต้องเรียนแมทป่าว,
เรียนแมธ,เรียนแมทยากป่าว ,
เรียนแมธ,เรียนแมทยากไหม,
เรียนแมธ,เรียนแมทเยอะป่าว,
เรียนแมธ,เรียนแมทเยอะป่าว,
เรียนแมธ,ต้องเรียนแมทกี่ตัวคะ,
เรียนแมธ,ต้องเรียนแมทกี่ตัว,
เรียนแมธ,เรียแมทยากป่าว,
เรียนแมธ,มีแมทกี่ตัวคะ,
เรียนแมธ,มีแมทกี่ตัวคะ,
เรียนแมธ,มีเรียนแมทกี่ตัวคะ,
