[LINE] Chat history in จำลอง-ร้านอาหารและเครื่องดื่ม
Saved on: 04/07/2564 BE 16:47

Sat, 22/05/2564 BE
14:55	⁨⁨N⁩⁩ joined the group.
14:55	⁨⁨แง้ว🙏⁩⁩ joined the group.
14:56	⁨⁨น้องแมววว⁩⁩ joined the group.
14:57	ipoo(นิวรรณ)	สวัสดีค่ะ 
14:57	N	กินไรดี
14:57	Mimi	หิวว
14:57	แง้ว🙏	สวัสดีค่ะ
14:57	ipoo(นิวรรณ)	ทักค่ะ
14:57	น้องแมววว	สวัสดีค่า
14:57	ipoo(นิวรรณ)	สวัสดีครับ
14:57	ipoo(นิวรรณ)	hello
14:58	N	มีเมนูแนะนำไหมครับ
14:58	แง้ว🙏	ผัดเผ็ดปลาดุกครับ
14:58	Mimi	มีลาบกุ้งค่ะ
15:10	ipoo(นิวรรณ)	ร้านเปิดกี่โมง
15:10	ipoo(นิวรรณ)	ร้านปิดกี่โมง
15:10	N	ร้านอยู่ที่ไหน 
15:12	ipoo(นิวรรณ)	[Notes] ลักษณะร้าน 
-เป็นร้านอาหาร + เครื่องดืม 
-สั่งออนไลน์ได้ 
-สั่งมารับได้
-จองโต๊ะ
-สั่งล่วงหน้าได้

Mon, 24/05/2564 BE
14:23	แง้ว🙏	ทางร้านจัดส่งเวลาใดบ้าง
14:23	แง้ว🙏	มีค่าบริการจัดส่งอย่างไร
14:24	ipoo(นิวรรณ)	เปิดกี่โมงคะ
14:24	ipoo(นิวรรณ)	ปิดกี่โมง
14:27	Mimi	ร้านเปิดวันไหนบ้าง 
14:28	Mimi	หิวมากกก แนะนำอาหารหน่อย 
14:40	Mimi	ร้านอยู่ที่ไหนคะ 
14:40	Mimi	สั่งอาหารได้มั้ย 
16:20	แง้ว🙏	มีเบอร์โทรศัพท์ติดต่อทางร้านไหมคะ
17:00	ipoo(นิวรรณ)	ขอเบอร์หน่อย
17:02	Mimi	ร้านไปทางไหน
17:03	Mimi	เมนูแนะนำ
17:55	Mimi	ต้มยำกุ้งอร่อยมาก ขอสั่งอีกรอบค่ะ 
17:57	แง้ว🙏	ขอจองโต๊ะล่วงหน้าต้องทำยังไงคะ
17:58	แง้ว🙏	แนะนำอาหารคลีนหน่อย
18:00	Mimi	จะสั่งอาหารต้องทำยังไงคะ
18:01	แง้ว🙏	สั่งออนไลน์มีโค้ดส่วนลดไหม
18:02	แง้ว🙏	ร้านนี้อร่อยป่าววววว
18:03	Mimi	อะไรอร่อยบ้าง 
18:04	แง้ว🙏	เลือกระดับความเผ็ดของอาหารได้ไหม
18:04	Mimi	ขอสั่งเครื่องดื่มหน่อย
18:04	Mimi	ขอสั่งน้ำหน่อยค่า
18:05	แง้ว🙏	หาร้านไม่เจอค่ะ
18:06	Mimi	อาหารใกล้ถึงยังคะ รอนานแล้ว 
18:08	Mimi	มีส่วนลดมั้ยคะ  
20:13	ipoo(นิวรรณ)	ทักค่ะ 
20:13	ipoo(นิวรรณ)	มีไรกินมั่ง
20:14	ipoo(นิวรรณ)	มีบริการส่งไหมคะ
20:14	ipoo(นิวรรณ)	ค่าส่งคิดยังไง

Tue, 25/05/2564 BE
07:16	ipoo(นิวรรณ)	สวัสดี
09:05	Mimi	หวัดดีจ้า 
