,text
0,สวัสดีค่ะ 
1,ขอข้อมูลหลักสูตรหน่อยค่ะ
2,เรียนกี่ปีจบ
3,ค่าเทอมกี่บาท
4,เรียนแมทกี่ตัว
5,มีที่พักไหมคะ
6,เรียนจบไปทำงานอะไร
7,มีหอพักสำหรับนักศึกษามั้ยคะ
8,ค่าหอเท่าไหร่คะ
9,เรียนยากมั้ยคะ 
10,ขอระเบียบการหอพัก
11,เปิดเทอมวันไหน 
12,Hi
13,จบอะไรถึงเรียนได้คะ
14,สายศิลป์เรียนได้ไหม
15,สวัสดี
16,สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
17,เปิดเรียนปีการศึกษาละกี่เทอมคะ
18,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
19,อรุณสวัสดิ์ค่ะ :)
20,สนใจเรียนสมัครอย่างไรคะ
21,ขอเว็ปมหาลัยหน่อยจ้า
22,เรียนยากไหม
23,ขอระเบียบการดรอปเรียนหน่อยค่ะ
24,สวัสดีจ้า
25,สวัสดีค่ะ
26,สวัสดีครับ
27,เรียนยากไหม
28,ขอเว็บไซต์สาขาหน่อย
29,ค่าเทอมเท่าไหร่
30,สวัสดี
31,ขอข้อมูลหลักสูตรหน่อย 
32,ขอดูหลักสูตรหน่อย
33,มีหอพักไหมครับ
34,เรียนกี่ปีครับ
35,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
36,ตึกสาขาอยู่ที่ไหนครับ
37,ค่าหอเท่าไหร่
38,ค่าเทอมกี่บาท
39,ขอรายวิชาในสาขาหน่อย
40,เทอมนี้มีวิชาอะไรบ้าง 
41,สวัสดี
42,เรียนยากไหมครับ
43,ขอรายละเอียดหลักสูตรหน่อย
44,ขอเว็บสาขาหน่อย
45,ค่าเทอมเท่าไหร่ครับ 
46,ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
47,ค่าเทอมเทอมละกี่บาทคะ
48,สวัสดีครับ
49,ค่าเทอม เทอมละเท่าไหร่ครับ
50,มีที่พักไหมครับ
51,ค่าหอราคาเท่าไหร่ครับ
52,ขอเว็บไซต์คณะหน่อยหน่อยครับ
53,เรียนยากไหม
54,จบไปทำอะไร 
55,ขอดูหลักสูตรหน่อย 
56,ขอลิ้งค์เว็บไซต์สาขาหน่อย
57,สาขานี้เรียนยากไหม
58,หวัดดีครับ
59,สวัสดีครับ
60,เรียนยากไหม
61,กี่ปีจบ
62,ค่าเทอมเท่าไหร่
63,ลงทะเบียนเรียนวันไหน 
64,ลงทะเบียนเรียนวันไหนครับ
65,ลงทะเบียนเรียนตอนไหนครับ
66,จบสายศิลป์เรียนได้ไหม
67,ค่าเทอมเท่าไหร่
68,ลงทะเบียนเรียนวันไหน 
69,เรียนปีละกี่เทอม
70,จบสายศิลป์เข้าเรียนที่นี่ได้ไหมครับ
71,ค่าหอพักราคาเท่าไรหรอคะ
72,ขอเว็บไซต์สาขาหน่อยครับ
73,ขอวิธีการดรอปเรียนหน่อยค่ะ
74,ให้ลงทะเบียนเรียนวันไหนหรอครับ
75,ที่นี่เรียนยากไหมครับ
76,ค่าเทอมกี่บาท
77,จบไปทำอะไรคะ
78,ที่นี่เรียนยากไหมคะ
79,ที่นี่เรียนปีละกี่เทอม
80,สวัสดีค่ะ
81,Hi
82,ตึกสาขาอยู่ตรงไหนคะ
83,ค่าหอพักราคาเท่าไรคะ
84,สนใจสมัครเรียนอย่างไรครับ
85,เรียนกี่ปีจบคะ
86,hi
87,ขอข้อมูลหลักสูตรหน่อยครับ
88,หอพักราคาเท่าไหร่คะ
89,เรียนกี่เทอมต่อปี
90,ตึกสาขาตั้งอยู่ที่ไหน
91,ค่าเทอมราคาเท่าไร
92,จบไปทำงานอะไรได้บ้าง
93,ที่นี่เรียนยากรึเปล่า
94,ลงทะเบียนเรียนวันไหนคะ
95,จบสายศิลป์มาเรียนได้รึเปล่าคะ
96,ลงทะเบียนเรียนวันไหน 
97,เรียนแมทกี่ตัว
98,เรียนยากไหมครับ
99,ลงทะเบียนเรียนวันไหน
100,ขอข้อมูลการสมัครเรียนหน่อยครับ
101,ดรอปเรียนยังไง
102,เรียนแมทเยอะไหม
103,เรียนยากป่าว
104,จบไปทำอะไร
105,มีที่พักไหม
106,สมัครเรียนยังไง
107,เรียนยากไหมครับ 
108,ต้องเรียนแมทป่าว
109,ต้องเรียนอะไรบ้าง
110,ต้องจบอะไรมา
111,ลงทะเบียนเรียนวันไหน 
112,สมัครเรียนวันไหน 
113,เปิดให้ลงทะเบียนเรียนวันไหนคะ
114,ติดต่อสาขาบังไง
115,หวัดดี 
116,เรียนยากไหมครับ 
117,มีหอพักไหม
118,สาขาอยู่ตรงไหนครับ
119,ขอดูหลังสูตรหน่อย 
120,เรียนกี่ปีครับ
121,เปิดลงทะเบียนเรียนตอนไหน
122,จบไปทำงานอะไรครับ
123,สมัครยังไง 
124,เรียนแมทเยอะไหม
125,เรียนยากไหม 
126,สมัครยังไง
127,มีที่พักไหม
128,ติดต่อสาขายังไง
129,สาขาอยู่ไหน 
130,ให้ลงทะเบียนวันไหน
131,ขอดูหลักสูตรค่ะ
132,สวัสดีครับ
133,เรียนยากไหมม
134,เรียนแมทกี่ตัว
135,เรียนแมทยากป่าว 
136,ลงทะเบียนเรียนวันไหนครับ
137,เรียนที่นี่ยากรึเปล่าคะ
138,วันไหนเปิดให้ลงทะเบียนเรียนหรอคะ
139,เปิดเรียนวันไหนครับ
140,เปิดเทอมวันไหนคะ
141,เปิดเทอมเมื่อไรคะ
142,เรียนยากไหมคะ
143,สวัสดีค่ะ
144,อยากรู้หลักสูตรของที่นี่ค่ะ
145,เรียนจบในกี่ปีหรอคะ
146,ค่าเทอมเทอมละเท่าไรหรอคะ
147,ค่าเทอมเท่าไรคะ
148,ค่าเทอมเท่าไรหรอคะ
149,ถ้าอยากดรอปเรียนทำยังไงคะ
150,อยากรู้ระเบียบการดรอปเรียนค่ะ
151,เปิดเทอมวันไหน
152,ตึกสาขาตั้งอยู่ที่ไหนคะ
153,ตึกสาขาตั้งอยู่ที่ไหน
154,จบไปทำงานอะไรได้บ้าง
155,ขอเว็บสาขาหน่อย 
156,เรียนแมทเยอะป่าว
157,ขอเว็บไซต์ของสาขาหน่อยค่ะ
158,มีหอพักไหม
159,เรียนยากไหม
160,สมัครเรียนยังไง
161,ค่าหอเท่าไรคะ
162,หอพักตั้งอยู่ตรงไหนหรอคะ
163,จบสายศิลป์เรียนได้ไหม
164,ต้องจบอะไรถึงสมัครเรียนได้คะ
165,สมัครเรียนวันไหน 
166,ลงทะเบียนเรียนวันไหน 
167,เปิดเทอมตอนไหนครับ
168,ลงทะเบียนเรียนเริ่มวันไหนคะ
169,เรียนยากไหม
170,เปิดเทอมวันไหนคะ
171,เรียนยากรึเปล่า
172,ดรอปเรียนเรียนยังไง
173,ขอเว็บสาขาหน่อย
174,ติดต่อสาขายังไง
175,เรียนแมทยากไหม
176,ขอดูหลักสูตรหน่อย
177,เรียนแมทกี่ตัว
178,ค่าเทอมเท่าไหร่ครับ
179,เทอมนี้ ค่าเทอมเท่าไหร่
180,ค่าเทอมเท่าไรคะ
181,เรียนกี่ปีครับ 
182,เรียนกี่ปีจบคะ
183,สวัสดีค่ะ
184,จบไปทำอะไร
185,หวัดดีครับ
186,สวัสดีครับ
187,สวัสดีฮะ
188,จบไปมีงานอะไรให้ทำบ้างคะ
189,ขอบคุณครับ
190,ขอบบคุณค่าา
191,แต้งกิ้ว
192,ขอบใจจ๊ะ
193,ขอบคุณนะ
194,ขอบคุณครับ
195,ขอบคุณค่ะ
196,เรียนยากไหมครับ
197,ขอบคุณมากๆ ค่ะ
198,ขอหลักสูตรหน่อย
199,ขอบตุณค่ะ
200,เรียนกี่ปีครับ
201,จบไปทำอะไร
202,ขอบคุณมากๆครับ
203,ขอหลักสูตรของสาขาหน่อยค่ะ
204,เรียนจบในกีปี่คะ
205,เรียนยากไหมคะ
206,ต้องเรียนแมทกี่ตัวคะ
207,เรียนจบไปทำอะไรได้บ้างคะ
