Account name,แชทบอทสถาบันการศึกษา,,,
Time zone,'+09:00,,,
Downloaded on,8/23/2021 17:41,,,
Sender type,Sender name,Date,Time,Message
Account,Auto-response,7/26/2021,21:06:17,"สวัสดี คุณ N(hello)
ขอบคุณที่เป็นเพื่อนกับ แชทบอทสถาบันการศึกษา

หากไม่ต้องการรับข้อความจากบัญชีทางการนี้ โปรดแตะปุ่มเมนูที่มุมขวาบนของหน้าจอแล้วปิดการแจ้งเตือน"
User,N,7/26/2021,21:06:30,เปิดเรียนวันไหน
Account,Auto-response,7/26/2021,21:06:31,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,7/26/2021,21:06:32,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,7/26/2021,21:06:49,สวัสดี
Account,Auto-response,7/26/2021,21:06:50,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,7/26/2021,21:06:51,สบายดีไหมคะ
User,N,7/26/2021,21:08:19,สวัสดี
Account,Unknown,7/26/2021,21:08:20,สวัสดีค่ะ
User,N,7/26/2021,21:08:33,ขอข้อมูลหลักสูตรหน่อย
Account,Unknown,7/26/2021,21:08:35,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf
User,N,7/26/2021,21:08:51,เรียนยากไหม
Account,Unknown,7/26/2021,21:08:53,แค่ใจรัก ก็เรียนได้
User,N,7/26/2021,21:09:05,ไอโง่
Account,Unknown,7/26/2021,21:09:06,ว่ายังไงนะคะ
User,N,7/27/2021,0:31:08,ไงๆ
Account,Unknown,7/27/2021,0:31:10,สวัสดีค่ะ
User,N,7/27/2021,0:31:21,ลงทะเบียนเรียนวันไหน
Account,Unknown,7/27/2021,0:31:22,วันลงทะเบียนเรียนของปีการศึกษาที่ 1/2564 ชั้นปีที่1 จะลงทะเบียนวันที่ 14-17 มิถุนายน 2564 ชั้นปีทื่2 ลงทะเบียนวันที่ 17 มิถุนายน 2564 ชั้นปีที่3 ลงทะเบียนวันที่ 16 มิถุนายน 2564 และชั้นปีที่4 ลงทะเบียนวันที่ 15 มิถุนายน 2564 โดยจะเปิดให้ลงทะเบียนในแต่ละวันตั้งแต่เวลา 8:30-23:59 น. และเปิดให้ทุกชั้นปีลงทะเบียนวันที่ 18-27 มิถุนายน 2564 เวลาเดียวกัน
User,N,8/1/2021,23:44:08,สวัสดีครับ
Account,Unknown,8/1/2021,23:44:09,สวัสดีจ้าา 
User,N,8/1/2021,23:44:14,ขอเว็บสาขาหน่อย
Account,Unknown,8/1/2021,23:44:15,นี่คือเว็บไซต์สาขาครับ https://office.cs.psu.ac.th/
User,N,8/1/2021,23:44:28,ลงทะเบียนกันตอนไหน
Account,Unknown,8/1/2021,23:44:30,วันลงทะเบียนเรียนของปีการศึกษาที่ 1/2564 ชั้นปีที่1 จะลงทะเบียนวันที่ 14-17 มิถุนายน 2564 ชั้นปีทื่2 ลงทะเบียนวันที่ 17 มิถุนายน 2564 ชั้นปีที่3 ลงทะเบียนวันที่ 16 มิถุนายน 2564 และชั้นปีที่4 ลงทะเบียนวันที่ 15 มิถุนายน 2564 โดยจะเปิดให้ลงทะเบียนในแต่ละวันตั้งแต่เวลา 8:30-23:59 น. และเปิดให้ทุกชั้นปีลงทะเบียนวันที่ 18-27 มิถุนายน 2564 เวลาเดียวกัน
User,N,8/1/2021,23:44:40,เรียนยากป่าว
Account,Unknown,8/1/2021,23:44:41,แค่ใจรัก ก็เรียนได้
User,N,8/1/2021,23:44:45,ขอบคุณครับ
Account,Unknown,8/1/2021,23:44:47,ยินดีครับ
User,N,8/3/2021,1:11:58,ไง
Account,"Kao, Kos?",8/3/2021,1:12:22,สวัสดีค่ะ
User,N,8/5/2021,1:33:59,สวัสดีครับ
Account,Unknown,8/5/2021,1:34:01,สวัสดีจ้าา 
User,N,8/5/2021,1:34:06,เรียนเป็นไงบ้าง
Account,Unknown,8/5/2021,1:34:08,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/5/2021,1:34:22,เรียนยากป่าว
Account,Unknown,8/5/2021,1:34:24,ไม่ยากครับ ถ้าตั้งใจก็ทำได้
User,N,8/5/2021,1:34:34,ขอดูหลักเป็นไง
Account,Unknown,8/5/2021,1:34:37,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/5/2021,1:34:53,ขอเว็บสาขา
Account,Unknown,8/5/2021,1:34:55,นี่คือเว็บไซต์สาขาครับ https://office.cs.psu.ac.th/
User,N,8/5/2021,16:08:49,สวัสดีครับ
Account,Unknown,8/5/2021,16:08:51,สวัสดีครับบบ
User,N,8/5/2021,16:09:00,ติดต่อสาขายังไงครับ
Account,Unknown,8/5/2021,16:09:02,"ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112, โทรศัพท์ 0-7428-8578, 0-7428-8575, โทรสาร 0-7428-8575 เว็บไซต์ https://office.cs.psu.ac.th"
User,N,8/5/2021,16:09:09,ขอบคุณครับ
Account,Unknown,8/5/2021,16:09:10,ด้วยความเต็มใจครับ
User,N,8/5/2021,16:34:09,สวัสดี
Account,Unknown,8/5/2021,16:34:11,สวัสดีครับบบ
User,N,8/5/2021,16:34:18,ขอดูหลักสูตรหน่อย
