Account name,แชทบอทสถาบันการศึกษา
Time zone,'+09:00
Downloaded on,2021/08/31 00:47
Sender type,Sender name,Date,Time,Message
Account,Auto-response,2021/07/26,21:06:17,"สวัสดี คุณ N(hello)
ขอบคุณที่เป็นเพื่อนกับ แชทบอทสถาบันการศึกษา

หากไม่ต้องการรับข้อความจากบัญชีทางการนี้ โปรดแตะปุ่มเมนูที่มุมขวาบนของหน้าจอแล้วปิดการแจ้งเตือน"
User,N,2021/07/26,21:06:30,เปิดเรียนวันไหน
Account,Auto-response,2021/07/26,21:06:31,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,2021/07/26,21:06:32,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,2021/07/26,21:06:49,สวัสดี
Account,Auto-response,2021/07/26,21:06:50,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,2021/07/26,21:06:51,สบายดีไหมคะ
User,N,2021/07/26,21:08:19,สวัสดี
Account,Unknown,2021/07/26,21:08:20,สวัสดีค่ะ
User,N,2021/07/26,21:08:33,ขอข้อมูลหลักสูตรหน่อย
Account,Unknown,2021/07/26,21:08:35,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf
User,N,2021/07/26,21:08:51,เรียนยากไหม
Account,Unknown,2021/07/26,21:08:53,แค่ใจรัก ก็เรียนได้
User,N,2021/07/26,21:09:05,ไอโง่
Account,Unknown,2021/07/26,21:09:06,ว่ายังไงนะคะ
User,N,2021/07/27,00:31:08,ไงๆ
Account,Unknown,2021/07/27,00:31:10,สวัสดีค่ะ
User,N,2021/07/27,00:31:21,ลงทะเบียนเรียนวันไหน
Account,Unknown,2021/07/27,00:31:22,วันลงทะเบียนเรียนของปีการศึกษาที่ 1/2564 ชั้นปีที่1 จะลงทะเบียนวันที่ 14-17 มิถุนายน 2564 ชั้นปีทื่2 ลงทะเบียนวันที่ 17 มิถุนายน 2564 ชั้นปีที่3 ลงทะเบียนวันที่ 16 มิถุนายน 2564 และชั้นปีที่4 ลงทะเบียนวันที่ 15 มิถุนายน 2564 โดยจะเปิดให้ลงทะเบียนในแต่ละวันตั้งแต่เวลา 8:30-23:59 น. และเปิดให้ทุกชั้นปีลงทะเบียนวันที่ 18-27 มิถุนายน 2564 เวลาเดียวกัน
User,N,2021/08/01,23:44:08,สวัสดีครับ
Account,Unknown,2021/08/01,23:44:09,สวัสดีจ้าา 
User,N,2021/08/01,23:44:14,ขอเว็บสาขาหน่อย
Account,Unknown,2021/08/01,23:44:15,นี่คือเว็บไซต์สาขาครับ https://office.cs.psu.ac.th/
User,N,2021/08/01,23:44:28,ลงทะเบียนกันตอนไหน
Account,Unknown,2021/08/01,23:44:30,วันลงทะเบียนเรียนของปีการศึกษาที่ 1/2564 ชั้นปีที่1 จะลงทะเบียนวันที่ 14-17 มิถุนายน 2564 ชั้นปีทื่2 ลงทะเบียนวันที่ 17 มิถุนายน 2564 ชั้นปีที่3 ลงทะเบียนวันที่ 16 มิถุนายน 2564 และชั้นปีที่4 ลงทะเบียนวันที่ 15 มิถุนายน 2564 โดยจะเปิดให้ลงทะเบียนในแต่ละวันตั้งแต่เวลา 8:30-23:59 น. และเปิดให้ทุกชั้นปีลงทะเบียนวันที่ 18-27 มิถุนายน 2564 เวลาเดียวกัน
User,N,2021/08/01,23:44:40,เรียนยากป่าว
Account,Unknown,2021/08/01,23:44:41,แค่ใจรัก ก็เรียนได้
User,N,2021/08/01,23:44:45,ขอบคุณครับ
Account,Unknown,2021/08/01,23:44:47,ยินดีครับ
User,N,2021/08/03,01:11:58,ไง
Account,"Kao, Kos?",2021/08/03,01:12:22,สวัสดีค่ะ
User,N,2021/08/05,01:33:59,สวัสดีครับ
Account,Unknown,2021/08/05,01:34:01,สวัสดีจ้าา 
User,N,2021/08/05,01:34:06,เรียนเป็นไงบ้าง
Account,Unknown,2021/08/05,01:34:08,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/05,01:34:22,เรียนยากป่าว
Account,Unknown,2021/08/05,01:34:24,ไม่ยากครับ ถ้าตั้งใจก็ทำได้
User,N,2021/08/05,01:34:34,ขอดูหลักเป็นไง
Account,Unknown,2021/08/05,01:34:37,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/05,01:34:53,ขอเว็บสาขา
Account,Unknown,2021/08/05,01:34:55,นี่คือเว็บไซต์สาขาครับ https://office.cs.psu.ac.th/
User,N,2021/08/05,16:08:49,สวัสดีครับ
Account,Unknown,2021/08/05,16:08:51,สวัสดีครับบบ
User,N,2021/08/05,16:09:00,ติดต่อสาขายังไงครับ
Account,Unknown,2021/08/05,16:09:02,"ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112, โทรศัพท์ 0-7428-8578, 0-7428-8575, โทรสาร 0-7428-8575 เว็บไซต์ https://office.cs.psu.ac.th"
User,N,2021/08/05,16:09:09,ขอบคุณครับ
Account,Unknown,2021/08/05,16:09:10,ด้วยความเต็มใจครับ
User,N,2021/08/05,16:34:09,สวัสดี
Account,Unknown,2021/08/05,16:34:11,สวัสดีครับบบ
User,N,2021/08/05,16:34:18,ขอดูหลักสูตรหน่อย
Account,Unknown,2021/08/05,16:34:20,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/05,16:34:35,เรียนยยากไหม
Account,Unknown,2021/08/05,16:34:37,ไม่ยากครับ ถ้าตั้งใจก็ทำได้
User,N,2021/08/05,16:34:44,ขอบคุณครับ
Account,Unknown,2021/08/05,16:34:46,ยินดีครับ
User,N,2021/08/05,17:16:28,สวัสดี
Account,Unknown,2021/08/05,17:16:30,สวัสดีครับบบ
User,N,2021/08/05,17:16:40,ขอดูข้อมูลหลักสูตรหน่อย
Account,Unknown,2021/08/05,17:16:41,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/05,17:16:50,เรียนยากไหม
Account,Unknown,2021/08/05,17:16:51,แค่ใจรัก ก็เรียนได้
User,N,2021/08/05,17:16:57,ขอบคุณครับ
Account,Unknown,2021/08/05,17:16:59,ยินดีครับ
User,N,2021/08/05,17:17:43,เปิดเทอมวันไหนครับ
Account,Unknown,2021/08/05,17:17:44,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,2021/08/05,17:18:06,มิดเทอมวันไหน
Account,Unknown,2021/08/05,17:18:07,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,2021/08/05,17:18:38,final วันไหน
Account,Unknown,2021/08/05,17:18:39,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,2021/08/05,17:19:49,ค่าเทอมเท่าไหร
Account,Unknown,2021/08/05,17:19:50,ค่าเทอมตกเทอมละ 18000 บาทครับ แต่ในช่วงโควิดค่าเทอมจะลดลง 20% สามารถดูเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/bachelor_fee.aspx
User,N,2021/08/05,17:20:19,งานในอนาคต
Account,Unknown,2021/08/05,17:20:19,"สายงานของสาขานี้ค่อนข้างกว้างครับ ที่รู้จักกันทั่วไป เช่น Developer, Programmer, software testing เป็นต้นครับ หรือสามารถไปดูตัวอย่างอื่นๆ ได้ตามลิ้งค์นี้เพิ่มเติมเลยครับ https://www.rasmussen.edu/degrees/technology/blog/computer-careers-for-tech-geeks/"
User,N,2021/08/06,21:35:15,สวัสดี
Account,Unknown,2021/08/06,21:35:17,สวัสดีครับบบ
User,N,2021/08/06,21:35:24,ขอดูหลักสูตร
Account,Unknown,2021/08/06,21:35:26,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/09,11:57:00,วันเกิดวันไหน
Account,Unknown,2021/08/09,11:57:01,ขอโทษค่ะ พูดอีกครั้งได้ไหมคะ
User,N,2021/08/12,16:49:04,สบายดีไหมครับ
Account,Unknown,2021/08/12,16:49:06,ขอโทษค่ะ อะไรนะคะ
User,N,2021/08/12,16:49:17,ช่ายค้าบบบ
Account,Unknown,2021/08/12,16:49:19,ว่ายังไงนะคะ
User,N,2021/08/12,16:49:20,นั่นแหละ
Account,Unknown,2021/08/12,16:49:21,ขอโทษค่ะ พูดอีกครั้งได้ไหมคะ
User,N,2021/08/12,16:49:27,สบายดีไหม
Account,Unknown,2021/08/12,16:49:28,ขอโทษค่ะ อะไรนะคะ
User,N,2021/08/12,16:49:35,รู้เรื่องไหมเนี่ย
Account,Unknown,2021/08/12,16:49:36,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,2021/08/12,16:49:41,เห้ย
Account,Unknown,2021/08/12,16:49:43,อีกทีได้ไหมคะ
User,N,2021/08/12,16:49:48,โมโหแล้วนะ
Account,Unknown,2021/08/12,16:49:49,ขอโทษค่ะ อะไรนะคะ
User,N,2021/08/12,16:49:58,มีแฟนรึยังคับ
Account,Unknown,2021/08/12,16:50:00,อะไรนะคะ พูดใหม่ได้ไหมคะ
User,N,2021/08/12,16:50:00,You sent a sticker.
User,N,2021/08/23,17:43:32,สวัสดีๆๆๆ
Account,"Kao, Kos?",2021/08/23,17:43:39,สวัสดีค่ะ
User,N,2021/08/23,17:49:13,Midterm วันไหน
Account,Unknown,2021/08/23,17:49:15,ในภาคการศึกษาที่ 1/2564 วันสอบกลางภาคถูกจัดขึ้นในช่วงวันที่ 7-13 สิงหาคม พ.ศ.2564 ครับ และสามารถดูเพิ่มเติมได้ที่ http://www.regis.sci.psu.ac.th/images/doc/exam/Guideline-Midterm2564.pdf ครับ
User,N,2021/08/23,17:50:47,ปิดเทมอ
Account,Unknown,2021/08/23,17:50:48,วันปิดเทอมของภาคการเรียนที่ 1/2564 จะเริ่มในวันที่ 24 ตุลาคม พ.ศ.2564 ครับ  และสามารถดูข้อมูลวันเปิดเทอมและปิดเทอมเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar.aspx เลยครับ 
User,N,2021/08/23,17:52:51,ขอที่อยู่
Account,Unknown,2021/08/23,17:52:52,ตึกสาขาตั้งอยู่ที่ ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112 ครับ
User,N,2021/08/23,17:53:36,ที่พัก
Account,Unknown,2021/08/23,17:53:36,ฉันไม่เข้าใจค่ะ
User,N,2021/08/29,13:55:35,สวัสดีครับ
User,N,2021/08/29,18:03:34,สวัสดีครับ
User,N,2021/08/29,18:05:14,สวัสดีครับ
Account,Unknown,2021/08/29,18:05:16,สวัสดีครับ มีอะไรอยากสอบถามรึเปล่าครับ
User,N,2021/08/29,18:22:45,สวัสดีครับ
Account,Unknown,2021/08/29,18:22:46,สวัสดีครับ มีอะไรอยากสอบถามรึเปล่าครับ
User,N,2021/08/29,18:22:51,ที่พัก
Account,Unknown,2021/08/29,18:22:52,ขอโทษครับ ตอนนี้ผมยังไม่สามารถตอบข้อความนี้ได้ครับ
User,N,2021/08/29,18:23:30,เปิดเทอม
Account,Unknown,2021/08/29,18:23:31,วันเปิดเทอมของภาคการเรียนที่ 1/2564 จะเริ่มในวันที่ 21 มิถุนายน พ.ศ.2564 ครับ  และสามารถดูข้อมูลวันเปิดเทอมและปิดเทอมเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar.aspx เลยครับ 
