Account name,แชทบอทสถาบันการศึกษา
Time zone,'+09:00
Downloaded on,2021/08/31 00:47
Sender type,Sender name,Date,Time,Message
Account,Auto-response,2021/08/05,17:16:19,"สวัสดี คุณ ipoo(นิวรรณ)(hello)
ขอบคุณที่เป็นเพื่อนกับ แชทบอทสถาบันการศึกษา

หากไม่ต้องการรับข้อความจากบัญชีทางการนี้ โปรดแตะปุ่มเมนูที่มุมขวาบนของหน้าจอแล้วปิดการแจ้งเตือน"
User,ipoo(นิวรรณ),2021/08/05,17:16:40,เรียนกี่ปีคะ
Account,Unknown,2021/08/05,17:16:41,โดยปกติจะจบที่ 4 ปี หรือ 3 ปีครึ่งครับ แต่สามารถยืดระยะเวลาในการเรียนต่อไปจนครบ 8 ปีได้ครับ ซึ่งจะเรียน 2 เทอมต่อปีการศึกษาครับ
User,ipoo(นิวรรณ),2021/08/05,17:16:54,เปิดเทอมวันไหน
Account,Unknown,2021/08/05,17:16:56,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,ipoo(นิวรรณ),2021/08/23,17:50:38,ปิดเทอม
Account,Unknown,2021/08/23,17:50:39,วันปิดเทอมของภาคการเรียนที่ 1/2564 จะเริ่มในวันที่ 24 ตุลาคม พ.ศ.2564 ครับ  และสามารถดูข้อมูลวันเปิดเทอมและปิดเทอมเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar.aspx เลยครับ 
User,ipoo(นิวรรณ),2021/08/23,17:52:30,ขอที่อยู่
Account,Unknown,2021/08/23,17:52:32,ตึกสาขาตั้งอยู่ที่ ชั้น 1 อาคารวิทยาการคอมพิวเตอร์ มหาวิทยาลัยสงขลานครินทร์ ตู้ ปณ 3 คอหงส์ หาดใหญ่ สงขลา 90112 ครับ
User,ipoo(นิวรรณ),2021/08/23,17:53:00,กินข้าว
Account,Unknown,2021/08/23,17:53:01,ช่วยพูดอีกทีได้ไหมคะ
User,ipoo(นิวรรณ),2021/08/23,17:53:11,ที่พัก
Account,Unknown,2021/08/23,17:53:12,ขอโทษค่ะ ฉันไม่เข้าใจค่ะ
User,ipoo(นิวรรณ),2021/08/23,18:09:21,หอพัก
Account,Unknown,2021/08/23,18:09:23,ทางมหาวิทยาลับเปิดให้นักศึกษาสามารถเข้าพักภายในหอพักในได้ โดยสามารถดูข้อมูลรายละเอียดได้ตามลิงค์นี้เลยครับ https://dorm.psu.ac.th/system/
